handle,display_name,total_msgs,outbound,inbound,replied,first_msg,last_msg,scripts_used,last_inbound
pikappaphisouthalabama,Pi Kappa Phi | South Alabama,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphizetaepsilonchapter,Pi Kappa Phi | Zeta Epsilon Chapter,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphipkphnuchapter,Pi Kappa Phi ΠΚΦ | Nu Chapter,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphilambdaiota,Pi Kappa Phi • Lambda Iota,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphiunccharlotte,Pi Kappa Phi • UNC Charlotte,1,1,0,no,2026-06-18,2026-06-18,A,
pikappaphiuniversityofmiamipkph,Pi Kappa Phi • University of Miami • ΠΚΦ,1,1,0,no,2026-08-05,2026-08-05,A,
pikappaphistonybrook,Pi Kappa Phi ⚔️ Stony Brook,1,1,0,no,2026-06-18,2026-06-18,A,
pilambdaphi,Pi Lambda Phi,1,1,0,no,2026-06-15,2026-06-15,A,
pilambdaphifraternity,Pi Lambda Phi Fraternity,1,1,0,no,2026-08-05,2026-08-05,A,
rhodesalphatauomega,Rhodes Alpha Tau Omega,1,1,0,no,2026-07-06,2026-07-06,A,
rhodessigmanu,Rhodes Sigma Nu,1,1,0,no,2026-07-06,2026-07-06,A,
rutgersdeltachi,Rutgers Delta Chi,1,1,0,no,2026-06-15,2026-06-15,A,
shsupike,SHSU PIKE,1,1,0,no,2026-06-17,2026-06-17,A,
sigmachitau,SIGMA CHI TAU,1,1,0,no,2026-08-05,2026-08-05,A,
sigepcoastalcarolina,SigEp @ Coastal Carolina,1,1,0,no,2026-08-05,2026-08-05,A,
sigmaalphaepsilon,Sigma Alpha Epsilon,1,1,0,no,2026-06-15,2026-06-15,A,
sigmaalphaepsilon,Sigma Alpha Epsilon,1,1,0,no,2026-07-06,2026-07-06,A,
sigmaalphaepsilon,Sigma Alpha Epsilon,1,1,0,no,2026-06-11,2026-06-11,A,
sigmaalphaepsilonsae,Sigma Alpha Epsilon (ΣΑΕ),1,1,0,no,2026-06-15,2026-06-15,A,
sigmaalphaepsilontneta,Sigma Alpha Epsilon - TN Eta,1,1,0,no,2026-07-06,2026-07-06,A,
sigmaalphaepsilonsae,Sigma Alpha Epsilon - ΣΑΕ,1,1,0,no,2026-08-05,2026-08-05,A,
sigmaalphaepsilonutk,Sigma Alpha Epsilon UTK,1,1,0,no,2026-08-05,2026-08-05,A,
sigmaalphaepsilonatucf,Sigma Alpha Epsilon at UCF,1,1,0,no,2026-06-15,2026-06-15,A,
sigmaalphaepsilonatunf,Sigma Alpha Epsilon at UNF,1,1,0,no,2026-03-02,2026-03-02,A,
sigmaalphaepsilonrutgersuniversity,Sigma Alpha Epsilon | Rutgers University,1,1,0,no,2026-06-15,2026-06-15,A,
sigmaalphamu,Sigma Alpha Mu,1,1,0,no,2026-06-15,2026-06-15,A,
sigmaalphamusyracuseuniversity,Sigma Alpha Mu - Syracuse University,1,1,0,no,2026-06-16,2026-06-16,A,
sigmabetarhothetatakethver,Sigma Beta Rho | Theta Takeϴver,1,1,0,no,2026-06-15,2026-06-15,A,
sigmachi,Sigma Chi,1,1,0,no,2026-06-18,2026-06-18,A,
sigmachi,Sigma Chi,1,1,0,no,2026-06-18,2026-06-18,A,
sigmachischgeorgiatech,Sigma Chi ΣΧ | Georgia Tech,1,1,0,no,2026-06-18,2026-06-18,A,
sigmachibridgewaterstateuniversity,Sigma Chi - Bridgewater State University,1,1,0,no,2026-06-18,2026-06-18,A,
sigmachideltaepsilon,Sigma Chi - Delta Epsilon,1,1,0,no,2026-06-18,2026-06-18,A,
sigmachiiotazeta,Sigma Chi - Iota Zeta,1,1,0,no,2026-06-18,2026-06-18,A,
sigmachilambdapsi,Sigma Chi - Lambda Psi,1,1,0,no,2026-07-06,2026-07-06,A,
sigmachimtsu,Sigma Chi - MTSU,1,1,0,no,2026-06-18,2026-06-18,A,
sigmachimissouristateuniversity,Sigma Chi - Missouri State University,1,1,0,no,2026-07-07,2026-07-07,A,
sigmachirho,Sigma Chi - Rho,1,1,0,no,2026-07-06,2026-07-06,A,
sigmachiuncchapelhill,Sigma Chi - UNC Chapel Hill,1,1,0,no,2026-08-05,2026-08-05,A,
sigmachiuniversityofnorthflorida,Sigma Chi - University of North Florida,1,1,0,no,2026-03-02,2026-03-02,A,
sigmachizetatau,Sigma Chi - Zeta Tau,1,1,0,no,2026-06-18,2026-06-18,A,
sigmachialumniwashingtonstateuniversity,"Sigma Chi Alumni, Washington State University",1,1,0,no,2026-06-18,2026-06-18,A,
sigmachietaxi,Sigma Chi Eta Xi,1,1,0,no,2026-06-18,2026-06-18,A,
sigmachinorthwestern,Sigma Chi Northwestern,1,1,0,no,2026-06-18,2026-06-18,A,
sigmachiumn,Sigma Chi UMN,1,1,0,no,2026-06-18,2026-06-18,A,
sigmachiatfloridagulfcoastuniversity,Sigma Chi at Florida Gulf Coast University,1,1,0,no,2026-03-02,2026-03-02,A,
sigmachiatrutgers,Sigma Chi at Rutgers,1,1,0,no,2026-06-15,2026-06-15,A,
sigmachiatumaine,Sigma Chi at UMaine,1,1,0,no,2026-06-17,2026-06-17,A,
sigmachiatuniversityofflorida,Sigma Chi at University of Florida,1,1,0,no,2026-06-15,2026-06-15,A,
sigmachiatwestminstercollegemo,Sigma Chi at Westminster College (MO),1,1,0,no,2026-06-18,2026-06-18,A,
sigmachierauprescott,Sigma Chi | ERAU Prescott,1,1,0,no,2026-06-18,2026-06-18,A,
sigmachies,Sigma Chi | EΣ,1,1,0,no,2026-06-18,2026-06-18,A,
sigmachikappatauchapter,Sigma Chi | Kappa Tau Chapter,1,1,0,no,2026-06-18,2026-06-18,A,
sigmachipittstate,Sigma Chi | Pitt State,1,1,0,no,2026-06-18,2026-06-18,A,
sigmachiumass,Sigma Chi | UMass,1,1,0,no,2026-06-18,2026-06-18,A,
sigmachiutarlington,Sigma Chi | UT Arlington,1,1,0,no,2026-06-18,2026-06-18,A,
sigmachiuwmilwaukee,Sigma Chi | UW-Milwaukee,1,1,0,no,2026-06-17,2026-06-17,A,
sigmachiuniversityofwestgeorgia,Sigma Chi | University of West Georgia,1,1,0,no,2026-08-05,2026-08-05,A,
sigmachix,Sigma Chi | 𝚺𝐗,1,1,0,no,2026-08-05,2026-08-05,A,
sigmachischkappaepsilon,Sigma Chi ΣΧ • Kappa Epsilon,1,1,0,no,2026-06-17,2026-06-17,A,
sigmalambdabetaslb,Sigma Lambda Beta | ΣΛB,1,1,0,no,2026-06-15,2026-06-15,A,
sigmanu,Sigma Nu,1,1,0,no,2026-07-06,2026-07-06,A,
sigmanugettysburg,Sigma Nu - Gettysburg,1,1,0,no,2026-07-06,2026-07-06,A,
sigmanuthetakappachapter,Sigma Nu - Theta Kappa Chapter,1,1,0,no,2026-08-05,2026-08-05,A,
sigmanuuofr,Sigma Nu @ UofR,1,1,0,no,2026-07-06,2026-07-06,A,
sigmanuecu,Sigma Nu ECU,1,1,0,no,2026-08-05,2026-08-05,A,
sigmanuepsiloneta,Sigma Nu Epsilon Eta,1,1,0,no,2026-08-05,2026-08-05,A,
sigmanuatfurmanuniversity,Sigma Nu at Furman University,1,1,0,no,2026-07-06,2026-07-06,A,
sigmanubutleruniversity,Sigma Nu ◦ Butler University,1,1,0,no,2026-07-06,2026-07-06,A,
sigmaphiepsilon,Sigma Phi Epsilon,1,1,0,no,2026-08-05,2026-08-05,A,
sigmaphiepsilon,Sigma Phi Epsilon,1,1,0,no,2026-06-15,2026-06-15,A,
sigmaphiepsilonuf,Sigma Phi Epsilon - UF,1,1,0,no,2026-06-15,2026-06-15,A,
sigmaphiepsilonnckappa,Sigma Phi Epsilon NC Kappa,1,1,0,no,2026-08-05,2026-08-05,A,
sigmaphiepsilonnyxiur,Sigma Phi Epsilon NY Xi - UR,1,1,0,no,2026-07-06,2026-07-06,A,
sigmaphiepsilonscalpha,Sigma Phi Epsilon SC-Alpha,1,1,0,no,2026-08-05,2026-08-05,A,
sigmaphiepsilonpennstate,Sigma Phi Epsilon | Penn State,1,1,0,no,2026-06-11,2026-06-11,A,
sigmapi,Sigma Pi,1,1,0,no,2026-07-07,2026-07-07,A,
sigmapi,Sigma Pi,1,1,0,no,2026-06-15,2026-06-15,A,
sigmapi,Sigma Pi,1,1,0,no,2026-08-05,2026-08-05,A,
sigmapicoastalcarolina,Sigma Pi - Coastal Carolina,1,1,0,no,2026-08-05,2026-08-05,A,
sigmapirutgers,Sigma Pi Rutgers,1,1,0,no,2026-06-15,2026-06-15,A,
sigmapizetaalpha,Sigma Pi Zeta Alpha,1,1,0,no,2026-07-06,2026-07-06,A,
sigmataugamma,Sigma Tau Gamma,1,1,0,no,2026-08-05,2026-08-05,A,
southcarolinabetathetapi,South Carolina - Beta Theta Pi,1,1,0,no,2026-08-05,2026-08-05,A,
stanfordsigmachisch,Stanford Sigma Chi | ΣΧ,1,1,0,no,2026-06-18,2026-06-18,A,
syracusedke,Syracuse ΔΚΕ,1,1,0,no,2026-06-16,2026-06-16,A,
tcubetathetapi,TCU Beta Theta Pi,1,1,0,no,2026-06-18,2026-06-18,A,
tcusigmachisch,TCU Sigma Chi (ΣΧ),1,1,0,no,2026-06-18,2026-06-18,A,
thetachi,THETA CHI,1,1,0,no,2026-02-11,2026-02-11,A,
tkegeorgiasouthern,TKE - Georgia Southern,1,1,0,no,2026-08-05,2026-08-05,A,
tketampa,TKE Tampa,1,1,0,no,2026-06-15,2026-06-15,A,
ttufiji,TTU FIJI 🦉,1,1,0,no,2026-08-05,2026-08-05,A,
ttupikepka,TTU PIKE - ΠΚΑ,1,1,0,no,2026-08-05,2026-08-05,A,
ttusigmachi,TTU Sigma Chi,1,1,0,no,2026-08-05,2026-08-05,A,
tauepsilonphipsu,Tau Epsilon Phi - PSU,1,1,0,no,2026-06-11,2026-06-11,A,
taukappaepsilon,Tau Kappa Epsilon,1,1,0,no,2026-07-07,2026-07-07,A,
taukappaepsilon,Tau Kappa Epsilon,1,1,0,no,2026-06-17,2026-06-17,A,
taukappaepsilon,Tau Kappa Epsilon,1,1,0,no,2026-08-05,2026-08-05,A,
taukappaepsilonmiami,Tau Kappa Epsilon - Miami,1,1,0,no,2026-08-05,2026-08-05,,
taukappaepsilonok,Tau Kappa Epsilon - OK,1,1,0,no,2026-07-06,2026-07-06,A,
taukappaepsilonatkutztownuniversity,Tau Kappa Epsilon at Kutztown University,1,1,0,no,2026-07-06,2026-07-06,A,
taukappaepsilonatucf,Tau Kappa Epsilon at UCF,1,1,0,no,2026-06-15,2026-06-15,A,
taukappaepsilonatuf,Tau Kappa Epsilon at UF,1,1,0,no,2026-03-02,2026-03-02,A,
taukappaepsilonwcu,Tau Kappa Epsilon | WCU,1,1,0,no,2026-07-06,2026-07-06,A,
taukappaepsilonsyracuseuniversity,Tau Kappa Epsilon • Syracuse University,1,1,0,no,2026-06-16,2026-06-16,A,
texasbetathetapi,Texas Beta Theta Pi,1,1,0,no,2026-06-18,2026-06-18,A,
texaspikappaphi,Texas Pi Kappa Phi,1,1,0,no,2026-06-18,2026-06-18,A,
theuniversityofalabamakappasigma,The University of Alabama Kappa Sigma,1,1,0,no,2026-06-15,2026-06-15,A,
thezetaphinupes,The Zeta Phi Nupes ♦️,1,1,0,no,2026-06-15,2026-06-15,A,
thetachapterofsigmachi,Theta Chapter of Sigma Chi,1,1,0,no,2026-07-06,2026-07-06,A,
thetachi,Theta Chi,1,1,0,no,2026-03-02,2026-03-02,A,
thetachimissouristateuniversity,Theta Chi - Missouri State University,1,1,0,no,2026-07-07,2026-07-07,A,
thetachialabama,Theta Chi Alabama,1,1,0,no,2026-06-15,2026-06-15,A,
thetachifraternity,Theta Chi Fraternity,1,1,0,no,2026-06-16,2026-06-16,A,
thetachifraternityuf,Theta Chi Fraternity - UF,1,1,0,no,2026-06-15,2026-06-15,A,
thetachifraternitygcsu,Theta Chi Fraternity @ GCSU,1,1,0,no,2026-08-05,2026-08-05,A,
thetachiunt,Theta Chi | UNT,1,1,0,no,2026-07-07,2026-07-07,A,
thetaomegapike,Theta Omega Pike,1,1,0,no,2026-06-17,2026-06-17,A,
thetaxial,Theta Xi - ΑΛ,1,1,0,no,2026-06-15,2026-06-15,A,
thetaxikennesawstateuniversity,Theta Xi | Kennesaw State University,1,1,0,no,2026-08-05,2026-08-05,A,
thetaxialphaomicronchapter,Theta Xi • Alpha Omicron Chapter,1,1,0,no,2026-07-06,2026-07-06,A,
trianglefraternity,Triangle Fraternity,1,1,0,no,2026-06-11,2026-06-11,A,
uaphideltatheta,UA Phi Delta Theta,1,1,0,no,2026-06-15,2026-06-15,A,
uasigmachi,UA Sigma Chi,1,1,0,no,2026-06-15,2026-06-15,A,
uconnpikappaphi,UConn Pi Kappa Phi,1,1,0,no,2026-06-18,2026-06-18,A,
ufbetathetapi,UF Beta Theta Pi,1,1,0,no,2026-06-15,2026-06-15,A,
ufsae,UF ΣΑΕ,1,1,0,no,2026-06-15,2026-06-15,A,
ulkappaalphaordergammaphi,UL Kappa Alpha Order-Gamma Phi,1,1,0,no,2026-07-06,2026-07-06,A,
unckappaalphaorder,UNC Kappa Alpha Order,1,1,0,no,2026-08-05,2026-08-05,A,
uncsae,UNC ΣAE,1,1,0,no,2026-08-05,2026-08-05,A,
uncchapelhillkappasigma,UNC-Chapel Hill Kappa Sigma,1,1,0,no,2026-08-05,2026-08-05,A,
uncginterfraternitycouncil,UNCG InterFraternity Council,1,1,0,no,2026-06-18,2026-06-18,A,
uncwpikappaalpha,UNCW Pi Kappa Alpha,1,1,0,no,2026-06-17,2026-06-17,A,
unlvpikes,UNLV Pikes,1,1,0,no,2026-06-17,2026-06-17,A,
untalphaepsilonpi,UNT Alpha Epsilon Pi,1,1,0,no,2026-07-07,2026-07-07,A,
untsigmanu,UNT Sigma Nu,1,1,0,no,2026-07-07,2026-07-07,A,
upennpikappaalpha,UPenn Pi Kappa Alpha,1,1,0,no,2026-06-17,2026-06-17,A,
uscpikappaphi,USC Pi Kappa Phi,1,1,0,no,2026-06-18,2026-06-18,A,
usfalphasigmaphi,USF Alpha Sigma Phi,1,1,0,no,2026-06-15,2026-06-15,A,
usfpikappaalphapka,USF Pi Kappa Alpha (ΠΚΑ),1,1,0,no,2026-06-15,2026-06-15,A,
usfsigmanu,USF Sigma Nu,1,1,0,no,2026-06-15,2026-06-15,A,
utsapkphiotabeta,UTSA ΠΚΦ: Iota Beta,1,1,0,no,2026-06-18,2026-06-18,A,
uvmpikepka,UVM PIKE | ΠΚΑ,1,1,0,no,2026-06-17,2026-06-17,A,
uwgtketaukappaepsilon,UWG TKE | Tau Kappa Epsilon,1,1,0,no,2026-08-05,2026-08-05,A,
universityoffloridachiphi,University Of Florida Chi Phi,1,1,0,no,2026-03-02,2026-03-02,A,
universityofalabamabetathetapi,University of Alabama Beta Theta Pi,1,1,0,no,2026-06-15,2026-06-15,A,
universityofsouthcarolinathetachi,University of South Carolina Theta Chi,1,1,0,no,2026-08-05,2026-08-05,A,
universityoftennesseepkph,University of Tennessee ΠΚΦ,1,1,0,no,2026-08-05,2026-08-05,A,
valparaisouniversitypka,Valparaiso University | ΠΚΑ,1,1,0,no,2026-06-17,2026-06-17,A,
villanovapikappaphi,Villanova Pi Kappa Phi,1,1,0,no,2026-06-18,2026-06-18,A,
wcusigepsphe,WCU SigEp | ΣΦΕ,1,1,0,no,2026-07-06,2026-07-06,A,
wiupikappaphi,WIU Pi Kappa Phi,1,1,0,no,2026-06-18,2026-06-18,A,
wvupikappaalpha,WVU Pi Kappa Alpha,1,1,0,no,2026-06-17,2026-06-17,A,
westernmichiganpikes,Western Michigan Pikes,1,1,0,no,2026-06-17,2026-06-17,A,
winthroppikappaalpha,Winthrop Pi Kappa Alpha,1,1,0,no,2026-06-17,2026-06-17,A,
woffordcollegesae,Wofford College ΣΑΕ,1,1,0,no,2026-07-06,2026-07-06,A,
woffordkappasigma,Wofford Kappa Sigma,1,1,0,no,2026-07-06,2026-07-06,A,
zbtpsichapteralabama,ZBT Psi Chapter - Alabama,1,1,0,no,2026-06-15,2026-06-15,A,
zetabetatau,Zeta Beta Tau,1,1,0,no,2026-06-15,2026-06-15,A,
zetabetatau,Zeta Beta Tau,1,1,0,no,2026-06-11,2026-06-11,A,
zetabetatau,Zeta Beta Tau,1,1,0,no,2026-06-15,2026-06-15,A,
zetabetatau,Zeta Beta Tau,1,1,0,no,2026-08-05,2026-08-05,A,
zetabetatausyracuse,Zeta Beta Tau Syracuse,1,1,0,no,2026-06-15,2026-06-15,A,
zetabetatauatfm,Zeta Beta Tau at F&M,1,1,0,no,2026-07-06,2026-07-06,A,
zetabetataualphazeta,Zeta Beta Tau | Alpha Zeta,1,1,0,no,2026-03-02,2026-03-02,A,
zetabetataudeltaomicron,Zeta Beta Tau | Delta Omicron,1,1,0,no,2026-06-15,2026-06-15,A,
zetapsi,Zeta Psi,1,1,0,no,2026-06-11,2026-06-11,A,
zetapsirutgers,Zeta Psi Rutgers,1,1,0,no,2026-06-15,2026-06-15,A,
gsu_alphasigs,gsu_alphasigs,1,1,0,no,2026-08-05,2026-08-05,A,
alphagammarhopennstate,Αlpha Gamma Rho Penn State,1,1,0,no,2026-06-11,2026-06-11,A,
dkecentrecollege,ΔΚΕ Centre College,1,1,0,no,2026-07-06,2026-07-06,A,
dkelafayettecollege,ΔΚΕ Lafayette College,1,1,0,no,2026-07-06,2026-07-06,A,
dkeuniversityoftennessee,ΔΚΕ • University of Tennessee,1,1,0,no,2026-08-05,2026-08-05,A,
dchdenisonuniversity,ΔΧ | Denison University,1,1,0,no,2026-07-06,2026-07-06,A,
ksxikappa,ΚΣ - Xi Kappa,1,1,0,no,2026-06-18,2026-06-18,A,
pkamcneesestate,Π Κ Α | McNeese State,1,1,0,no,2026-06-17,2026-06-17,A,
pkaatlinfielduniversity,ΠKA at Linfield University,1,1,0,no,2026-06-17,2026-06-17,A,
pkauniversityofnebraskaomaha,ΠKA | University of Nebraska Omaha,1,1,0,no,2026-06-17,2026-06-17,A,
pka,ΠΚΑ,1,1,0,no,2026-03-02,2026-03-02,A,
pkaarkansasstateuniversity,ΠΚΑ - Arkansas State University,1,1,0,no,2026-08-05,2026-08-05,A,
pkasandiegostateuniversity,ΠΚΑ San Diego State University,1,1,0,no,2026-06-17,2026-06-17,A,
pkazetabetachapter,ΠΚΑ Zeta Beta Chapter,1,1,0,no,2026-06-17,2026-06-17,A,
pkacalpolypomona,ΠΚΑ | Cal Poly Pomona,1,1,0,no,2026-06-17,2026-06-17,A,
pkastetsonuniversity,ΠΚΑ | Stetson University,1,1,0,no,2026-06-17,2026-06-17,A,
pkauniversityofcincinnati,ΠΚΑ | University of Cincinnati,1,1,0,no,2026-06-17,2026-06-17,A,
pkagschapter,ΠΚΑ ΓΣ Chapter,1,1,0,no,2026-06-17,2026-06-17,A,
pkph,ΠΚΦ,1,1,0,no,2026-06-18,2026-06-18,A,
pkphkappapsichapter,ΠΚΦ - Kappa Psi Chapter,1,1,0,no,2026-06-18,2026-06-18,A,
saeindianaalpha,ΣAE - Indiana Alpha,1,1,0,no,2026-07-06,2026-07-06,,
saewestchesteruniversity,ΣΑΕ - West Chester University,1,1,0,no,2026-07-06,2026-07-06,A,
saekennesawstate,ΣΑΕ Kennesaw State,1,1,0,no,2026-08-05,2026-08-05,A,
saeattheuniversityofsouthcarolina,ΣΑΕ at The University of South Carolina,1,1,0,no,2026-08-05,2026-08-05,A,
snuniversityofflorida,ΣΝ - University of Florida,1,1,0,no,2026-03-02,2026-03-02,A,
schdenisonuniversity,ΣΧ | Denison University,1,1,0,no,2026-07-06,2026-07-06,A,
tdalphas,ΤΔ Alphas ☠️,1,1,0,no,2026-02-27,2026-02-27,A,
betathetapiusf,𝐁𝐄𝐓𝐀 𝐓𝐇𝐄𝐓𝐀 𝐏𝐈 // 𝐔𝐒𝐅,1,1,0,no,2026-06-15,2026-06-15,A,
kappaalphaorder,𝐊𝐀𝐏𝐏𝐀 𝐀𝐋𝐏𝐇𝐀 𝐎𝐑𝐃𝐄𝐑,1,1,0,no,2026-07-06,2026-07-06,A,
pikappaalpha,𝐏𝐈 𝐊𝐀𝐏𝐏𝐀 𝐀𝐋𝐏𝐇𝐀,1,1,0,no,2026-06-17,2026-06-17,A,
thetachiatecu,𝐓𝐇𝐄𝐓𝐀 𝐂𝐇𝐈 at ECU,1,1,0,no,2026-08-05,2026-08-05,A,
phideltathetausf,𝗣𝗛𝗜 𝗗𝗘𝗟𝗧𝗔 𝗧𝗛𝗘𝗧𝗔 | 𝗨𝗦𝗙,1,1,0,no,2026-03-02,2026-03-02,A,
taukappaepsilon,🔺Tau Kappa Epsilon🔺,1,1,0,no,2026-08-05,2026-08-05,A,
